CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),,Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,,Gov't Expenditure % of GDP ,Country,,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
50,Egypt,Egypt,Middle East and North Africa,152,11,49.1,39.0,22.1,28.7,87.1,75.7,3.7,54.1,32.9,70.9,60.2,65,50,12.4,Egypt,22.5,22.5,16.7,Egypt,28.5,Egypt,Egypt,102.3,"$1,290.2 ",3.6,4.6,"$12,790",10.5,5.7,"5,852.0",90.2
51,El Salvador,ElSalvador,Americas,90,18,59.6,43.2,46.8,36.1,77.7,74.7,50.3,65.0,54.6,76.8,69.4,60,60,7.8,El Salvador ,30.0,30.0,20.8,El Salvador,29.1,El Salvador,El Salvador,6.5,$54.6 ,-8.6,0.2,"$8,422",7.0,0.2,200.0,88.2
52,Equatorial Guinea,EquatorialGuinea,Sub-Saharan Africa,163,41,47.2,18.9,6.9,6.5,75.1,91.0,94.8,34.4,46.5,73.0,48.8,40,30,15.6,Equatorial Guinea,35.0,35.0,6.3,Equatorial Guinea,17.3,Equatorial Guinea,Equatorial Guinea,1.4,$25.0 ,-5.8,-6.4,"$17,788",9.2,4.8,530.0,51.1
53,Eritrea,Eritrea,Sub-Saharan Africa,171,44,39.7,8.6,3.9,11.1,72.7,68.6,79.0,30.1,51.2,61.5,69.2,0,20,5.4,Eritrea,30.0,30.0,30.5,Eritrea,32.4,Eritrea,Eritrea,3.6,$6.5 ,-0.6,2.7,"$1,821",7.4,4.9,74.0,184.7
54,Estonia,Estonia,Europe,7,4,80.0,91.5,92.3,83.9,81.1,48.4,93.3,86.9,61.1,82.8,79.2,90,70,2.9,Estonia,20.0,20.0,33.1,Estonia,41.5,Estonia,Estonia,1.3,$50.2 ,-2.9,3.0,"$37,745",6.5,-0.6,"3,156.0",18.5
156,Eswatini,Eswatini,Sub-Saharan Africa,141,31,51.4,46.1,36.9,32.1,78.6,63.9,15.6,48.9,54.8,77.9,71.8,50,40,9.1,Eswatini,33.0,27.5,17.2,Eswatini,34.7,Eswatini,Eswatini,1.2,$10.1 ,-3.3,0.9,"$8,957",23.4,3.9,41.0,47.1
55,Ethiopia,Ethiopia,Sub-Saharan Africa,150,35,49.6,38.1,20.5,33.2,78.3,93.0,81.6,42.7,38.8,57.7,61.4,30,20,11.8,Ethiopia,35.0,30.0,6.7,Ethiopia,15.3,Ethiopia,Ethiopia,115.0,$282.6 ,6.1,8.2,"$2,908",2.8,20.4,"2,395.0",55.3
56,Fiji,Fiji,Asia-Pacific,111,23,56.4,53.2,43.4,54.3,86.8,69.6,9.1,58.8,66.0,74.9,55.2,55,50,14.9,Fiji,20.0,20.0,22.7,Fiji,31.8,Fiji,Fiji,0.9,$10.4 ,-19.0,-1.6,"$11,567",4.8,-2.6,241.0,73.7
57,Finland,Finland,Europe,9,6,78.3,100.0,97.8,96.4,68.4,10.7,83.2,88.7,65.1,84.9,79.2,85,80,2.9,Finland,31.25,20.00,42.2,Finland,54.6,Finland,Finland,5.5,$275.5 ,-2.9,1.1,"$49,853",7.8,0.4,"2,575.0",67.1
58,France,France,Europe,52,31,65.9,93.8,85.5,75.9,52.1,0.5,39.1,81.9,58.8,79.1,79.2,75,70,2.9,France,45.0,26.5,45.4,France,57.6,France,France,67.4,"$2,999.7 ",-8.2,-0.3,"$46,062",8.6,0.5,"17,932.0",113.5
59,Gabon,Gabon,Sub-Saharan Africa,115,19,55.8,26.8,18.6,24.4,77.4,90.2,89.5,49.9,54.0,81.5,56.8,60,40,14.1,Gabon,35.0,30.0,11.5,Gabon,18.1,Gabon,Gabon,2.2,$33.7 ,-1.8,1.1,"$15,970",20.5,1.3,"1,717.0",72.5
60,Gambia,Gambia,Sub-Saharan Africa,102,14,58.0,47.6,37.2,38.1,79.3,84.1,68.9,50.5,47.3,64.1,63.8,65,50,13.1,"Gambia, The",35.0,27.0,10.8,Gambia,23.0,Gambia,Gambia,2.4,$5.5 ,0.0,4.0,"$2,275",9.6,5.9,46.0,75.8
61,Georgia,Georgia,Europe,26,18,71.8,63.8,56.4,64.4,89.1,72.7,67.1,74.1,61.9,76.0,86.6,80,70,1.7,Georgia,20.0,15.0,22.2,Georgia,30.2,Georgia,Georgia,3.7,$55.3 ,-6.1,2.3,"$14,918",12.1,5.2,617.0,60.6
62,Germany,Germany,Europe,16,11,76.1,95.7,95.3,89.4,59.9,34.5,90.4,87.2,52.3,79.5,79.2,80,70,2.9,Germany,47.5,15.8,38.8,Germany,46.7,Germany,Germany,83.2,"$4,496.8 ",-4.9,0.4,"$54,076",4.3,0.4,"35,651.0",68.9
